"chapter","sentence","nouns","verbs"
"Chapter 1","Sentence 1","Masonick Ornamts Bro Address Jany flattering sentiments manner endeavours Country plan Tyranny cess praise Grand Architect Universe superstructures justice Ambition Princes World rod oppression hands power Vows and offer mine Brothers parts world sincerity Yrs","accompanied rendered avert threatned crowned suffer subjected permit assure"
"Chapter 1","Sentence 2"," Masonick Orna ments Brotherly Address month flattering sentiments manner endeavours Country plan Tyranny success praise Grand Architect Universe superstruc justice ambition Princes  rod oppression hands power Earth","accompanied rendered avert threatned crowned suffer tures subjected"
"Chapter 1","Sentence 3","letter General GEORGE WASHINGTON Masonic Import camp Newburgh New York State New York August firm Watson Cassoul Nantes France friend Brother Elkanah Watson partner firm Masonic Apron ornaments Nantes France","known written dated"
"Chapter 1","Sentence 4","doubt error statement apron Alexandria one Marquise de Lafayette WASHINGTON General Lafayette visit Mount Vernon Museum Grand Lodge Pennsylvania Watson Cassoul","extract shown presented"
"Chapter 1","Sentence 5","Watson Cassoul possession Grand Lodge New York member Watson family year cost sheets glass collection Committee Antiquities Grand Lodge F","purchased secured"
"Chapter 1","Sentence 6","firm Watson Cassoul Nantes France agents American Government period correspondence Benjamin Franklin Franklin Mss collection American Philosophical Society","acted shown"
"Chapter 1","Sentence 7","career protection liberty effect family Providence instrument hands decrees","confined extend selected fulfill"
"Chapter 1","Sentence 8","Illustrious Respected Brother  moment Europe admire effects efforts support liberty acceptance pledge homage","Most hasten offer"
"Chapter 1","Sentence 9","pages letter sheet copy WASHINGTON changes text France","written written satisfied shown"
"Chapter 1","Sentence 10","lovers liberty institutions joy chief brother defence defence nation Republicans","experienced seeing stand"
"Chapter 2","Sentence 1","mind citizens testimonies bation exertions wel pleasing milder virtues heart Society principles laws truth sphere ness design institution conduct member fraternity publications principles mankind object Masonry happiness race","Flattering receive promote fare respected founded enlarge wished discover actuate convince promote"
"Chapter 2","Sentence 2","Historian career glory inhabitants Empire exertionswhilst Hero li United America others Patriot Councils Band thers acclamations countrymen res pect milder virtues man","describing celebrate berating presides having joined testify graced"
